initial_maturity,time_in_minute,temperature,humidity,current_maturity
85,31960,27.4906451,53.3689622,100
85,31980,27.47490941,53.3653224,100
85,32000,27.47304262,53.30011916,100
85,32020,27.45221341,52.63397096,100
85,32040,27.37560836,52.66474266,100
85,32060,27.33912931,52.30033328,100
85,32080,27.29965001,52.23476972,100
85,32100,27.25928102,52.1351255,100
85,32120,27.21055127,52.15313091,100
85,32140,27.15132986,51.98852324,100
85,32160,27.10572129,51.8422351,100
85,32180,27.05561897,51.96098143,100
85,32200,27.02853265,52.00600374,100
85,32220,26.98135071,51.52016162,100
85,32240,26.93927987,51.06910094,100
85,32260,26.80420425,51.95930085,100
85,32280,26.7180522,53.54448226,100
85,32300,26.74631246,54.34182046,100
85,32320,26.75394125,54.09895747,100
85,32340,26.73543604,54.58918968,100
85,32360,26.70734276,56.30807103,100
85,32380,26.76426176,56.82685201,100
85,32400,26.82390658,56.50383799,100
85,32420,26.8479401,57.24865925,100
85,32440,26.84806718,57.09983618,100
85,32460,26.87984741,56.8668628,100
85,32480,26.86552379,56.84052692,100
85,32500,26.84887118,56.36316738,100
85,32520,26.85413574,56.4793665,100
85,32540,26.85056004,56.71762032,100
85,32560,26.85520769,56.57703382,100
85,32580,26.87033268,56.35028222,100
85,32600,26.88119821,55.39602794,100
85,32620,26.92160749,54.63270679,100
85,32640,26.94246553,54.30045838,100
85,32660,26.97096291,53.88024214,100
85,32680,26.97573704,53.84481568,100
85,32700,26.99993353,53.60003353,100
85,32720,26.98040424,53.42591762,100
85,32740,26.9592899,53.48629816,100
85,32760,26.96238534,53.34922964,100
85,32780,26.98336111,53.5970002,100
85,32800,27.01509448,52.77368845,100
85,32820,26.99981042,52.05948807,100
85,32840,26.94047566,52.17786888,100
85,32860,26.94886479,52.74997576,100
85,32880,27.02828387,52.97317762,100
85,32900,27.05901477,53.34980073,100
85,32920,27.08324741,53.09970503,100
85,32940,27.08119132,52.97344269,100
85,32960,27.04229473,53.05974046,100
85,32980,27.00767497,52.95170767,100
85,33000,27.0002403,52.71675282,100
85,33020,26.99131887,52.01813115,100
85,33040,26.93944186,51.84793847,100
85,33060,26.89209908,51.15863827,100
85,33080,26.87163062,50.76246824,100
85,33100,26.8369468,50.89594761,100
85,33120,26.8943416,51.36747144,100
85,33140,26.92260119,51.12939264,100
85,33160,26.90751284,50.85774704,100
85,33180,26.91269017,50.7656298,100
85,33200,26.91601377,50.55989223,100
85,33220,26.95150362,50.78130072,100
85,33240,26.97356919,50.56112893,100
85,33260,27.05176522,50.41051829,100
85,33280,27.07018467,50.64627763,100
85,33300,27.55979525,52.44981723,100
85,33320,27.59628882,52.4373713,100
85,33340,27.61532646,53.67259529,100
85,33360,27.61635617,54.38967867,100
85,33380,27.62753236,54.21321081,100
85,33400,27.60097536,54.15857585,100
85,33420,27.58584885,54.19251132,100
85,33440,27.58716776,54.07870761,100
85,33460,27.57062485,53.39596681,100
85,33480,27.4862905,53.3347059,100
85,33500,27.44483826,52.91466661,100
85,33520,27.40590954,52.83973682,100
85,33540,27.36584497,52.72228629,100
85,33560,27.31253478,52.73929247,100
85,33580,27.25485317,52.5571218,100
85,33600,27.20630053,52.39112583,100
85,33620,27.14927883,52.52564544,100
85,33640,27.12106113,52.57590903,100
85,33660,27.074877,52.15518471,100
85,33680,27.03346271,51.78135346,100
85,33700,26.92480486,52.34991526,100
85,33720,26.84825014,53.60321782,100
85,33740,26.85888091,54.2835091,100
85,33760,26.85593286,54.14404663,100
85,33780,26.83466499,54.49955011,100
85,33800,26.80184411,56.06041451,100
85,33820,26.84820392,56.51283087,100
85,33840,26.90077419,56.17700532,100
85,33860,26.92002678,56.76037247,100
85,33880,26.90541011,56.8033842,100
85,33900,26.92768275,56.79308129,100
85,33920,26.92417005,56.84155457,100
85,33940,26.91299564,56.39361987,100
85,33960,26.91901227,56.45022838,100
85,33980,26.91492576,56.75347084,100
85,34000,26.91916593,56.69875294,100
85,34020,26.93680877,56.46341777,100
85,34040,26.94922653,55.40974622,100
85,34060,26.97814665,54.68618871,100
85,34080,26.99138918,54.34338101,100
85,34100,27.02395761,53.94884816,100
85,34120,27.02941376,54.00597982,100
85,34140,27.05730499,53.85837165,100
85,34160,27.04153341,53.7712868,100
85,34180,27.02514084,53.94267409,100
85,34200,27.03784515,53.82173864,100
85,34220,27.06669841,54.1096669,100
85,34240,27.10296512,53.20445347,100
85,34260,27.08645001,52.46917684,100
85,34280,27.0285198,52.6294692,100
85,34300,27.04120261,53.28449611,100
85,34320,27.13434824,53.53958394,100
85,34340,27.18077879,53.96881988,100
85,34360,27.20942561,53.68537718,100
85,34380,27.2070758,53.65536308,100
85,34400,27.17155112,53.78256052,100
85,34420,27.14817615,53.65552306,100
85,34440,27.14313177,53.3881937,100
85,34460,27.13317395,52.58738798,100
85,34480,27.0755526,52.39407254,100
85,34500,27.032518,51.61106278,100
85,34520,27.01043499,51.15591608,100
85,34540,26.97103444,51.30727346,100
85,34560,26.89902864,51.20899563,100
85,34580,26.91444492,50.97072835,100
85,34600,26.89343833,50.70947145,100
85,34620,26.89514116,50.61165905,100
85,34640,26.89291968,50.38069382,100
85,34660,26.92153655,50.58767019,100
85,34680,26.93736225,50.37658683,100
85,34700,27.00812627,50.22153067,100
85,34720,27.02136815,50.43856129,100
85,34740,27.5312231,52.30658064,100
85,34760,27.56255053,52.29620159,100
85,34780,27.57706549,53.54198966,100
85,34800,27.57426683,54.26010988,100
85,34820,27.58256176,54.08206104,100
85,34840,27.55283894,54.02801368,100
85,34860,27.5340374,54.05431,100
85,34880,27.53163529,53.94337305,100
85,34900,27.51286038,53.25589248,100
85,34920,27.42797785,53.19859534,100
85,34940,27.38501305,52.78514294,100
85,34960,27.34416517,52.71977074,100
85,34980,27.30401903,52.60717198,100
85,35000,27.25115418,52.62069665,100
85,35020,27.19411654,52.44271334,100
85,35040,27.14723502,52.2915325,100
85,35060,27.09129648,52.41580485,100
